,Image,Accuracy,F1,Jaccard,Recall,Precision
19,boy-child-sad-alone-158305_0,0.9769134521484375,0.975632931778651,0.9524251238110212,0.9724536479653263,0.9788330721129764
20,brunette-cute-fashion-female-41366_0,0.9947662353515625,0.9963624601646968,0.9927512878087439,0.9990270408217518,0.9937120555073721
21,building-joy-planning-plans_0,0.9948883056640625,0.9818801384681956,0.9644052488976252,0.9976094303849642,0.9666391543970819
22,call-calling-cell-cellphone-41515_0,0.9809379577636719,0.9890908773362267,0.9784172040409974,0.9949883823587545,0.9832628718758952
23,child-girl-read-learn-159543_0,0.971435546875,0.967379655848399,0.9368202566677073,0.9627577476024487,0.9720461549236588
24,cold-person-woman-water_0,0.4545860290527344,0.0,0.0,0.0,0.0
25,cute-dive-fun-goggles-41517_0,0.9894905090332031,0.9909089409163656,0.9819816873773708,0.9920448764114729,0.9897756038392574
26,desk-office-workspace-coworking_0,0.909881591796875,0.9211650381760905,0.8538516740491451,0.8622747009027583,0.9886890307237158
27,dirt-bike-motorcycle-exhaust-67557_0,0.9892120361328125,0.9323056300268097,0.8731952291274325,0.9067374400521488,0.9593576038228484
28,dog-dog-advisor-non-fiction-cocktail_0,0.9916839599609375,0.9814215101414694,0.963520749665328,0.9765280510141782,0.9863642592846376
29,dots-dotted-color-cute-41512_0,0.9729537963867188,0.9679519052569724,0.9378941836019622,0.9506685845186724,0.9858752900445655
30,fashion-woman-model-portrait_0,0.9927482604980469,0.995594448216806,0.9912275439430367,0.9942787313225574,0.9969136518692131
31,food-man-person-eating_0,0.9060745239257812,0.9351728495826861,0.8782391106539542,0.8819463067250678,0.9952366008383583
32,football-american-football-game-sport-163294_0,0.9681129455566406,0.9696417222030543,0.9410723853029919,0.9669131760598576,0.9723857113720463
33,football-american-football-quarterback-runner-163439_0,0.9894332885742188,0.990896542658078,0.9819573359387722,0.9926974134752147,0.989102193995381
34,football-american-football-referee-referee-football-official-163039_0,0.993927001953125,0.9962296681539584,0.9924876603214451,0.9945385164624718,0.9979265810412643
35,girl-bicycle-garden-people-630770_0,0.9908294677734375,0.979822396803814,0.9604429598670462,0.9727518165455636,0.986996516622138
36,girl-blonde-wreath-water-160526_0,0.9909553527832031,0.9810038857509115,0.9627160222037017,0.9922367546717233,0.9700224989701176
37,girl-cascada-water-waves-160588_0,0.992340087890625,0.9854549668970113,0.9713269837643329,0.9805541140517788,0.9904050551818526
38,girl-cat-kitten-fashion_0,0.9959983825683594,0.9961256200300643,0.9922811458340999,0.9956880002362739,0.9965636246739138
39,girl-dance-dress-flowers-163508_0,0.9770774841308594,0.9641752070254512,0.9308284698000483,0.9383354994430003,0.991478352563238
40,girl-forest-nature-stroll-160627_0,0.9956130981445312,0.9958566919828791,0.9917475762990391,0.9973731119241955,0.9943448762132255
41,girl-in-leather-jacket-beautiful-hair-model-160974_0,0.9965896606445312,0.9925626435060397,0.9852350988455632,0.9929922098675011,0.9921334486428952
42,girl-model-blonde-slav-157666_0,0.9932098388671875,0.9895886949604604,0.9793919466506125,0.9984302524578942,0.9809023550283508
43,girl-park-woman-greens-157854_0,0.9850273132324219,0.9660140792629601,0.9342623143015056,0.982561826252378,0.950014476216428
44,girl-peasant-woman-tradition-water-158007_0,0.9888496398925781,0.9893178088900096,0.9788614240877074,0.9999926120748249,0.9788685030771567
45,girl-portrait-face-woman-122426_0,0.9859199523925781,0.9914816720939948,0.9831072422378442,0.984883219777902,0.9981691364736826
46,girl-rustic-grass-meadow-89779_0,0.7949790954589844,0.8614837437661885,0.7566723259762309,0.7810068553644278,0.9604510033790773
47,girl-sunset-lake-water-160534_0,0.9924430847167969,0.9917053624141123,0.9835471948839334,0.9921498646961738,0.9912612582448856
48,girl-water-wet-summer-122436_0,0.9986305236816406,0.9881482948730645,0.9765742251223491,0.9791939282910233,0.9972679416272406
49,girl-wild-water-rock-160440_0,0.9887962341308594,0.9741094332636925,0.9495256753969891,0.9896292315959162,0.9590688954850805
50,girl-woman-portrait-young-115015_0,0.9994010925292969,0.9996996163890828,0.999399413184602,0.9995753065636179,0.9998239571373899
51,girl-young-blue-eyes-eyes-39295_0,0.9945640563964844,0.9910268439048656,0.9822132907284438,0.9933600111087266,0.9887046111320518
52,girls-children-kids-friends-50581_0,0.9752197265625,0.9783026934587431,0.9575269379642222,0.9899750559382415,0.9669023709073623
53,girls-women-happy-sexy-53364_0,0.9867057800292969,0.9745548002716102,0.9503723851159877,0.9947236630298695,0.9551875653007772
54,glamour-style-hat-woman-37649_0,0.9816665649414062,0.9848328010401807,0.9701188159440924,0.9819013636907121,0.9877817942403505
55,hammer-throw-athlete-track-and-field-training-37636_0,0.9963760375976562,0.9940008588244209,0.9880732677990786,0.997983819837184,0.9900495634890684
56,hanging-out-trainer-young-79990_fk4fhyJJPf_0,0.9820785522460938,0.9613155034419155,0.9255125176388515,0.9841684650660911,0.9394997746732763
57,hiker-traveler-trip-travel-160483_0,0.9913139343261719,0.9797806686498246,0.9603627754760993,0.9869230769230769,0.9727408974698052
58,james-stewart-man-person-actor-53487_0,0.9970436096191406,0.9980792727507045,0.9961659097430418,0.9976515237845149,0.9985073886740058
59,kickboxer-girl-kickboxing-athletic-girl-160920_0,0.9907989501953125,0.9369675429885539,0.8814100988249176,0.9045360512639387,0.9718111346018323
60,love-old-people-the-heart-of-pension-160936_0,0.9881629943847656,0.9390648626357441,0.8851293821493355,0.9754803965566481,0.9052703316674239
61,man-selling-razors-black-and-white-older-68655_0,0.9914741516113281,0.9934982007325069,0.9870804020971947,0.9962601882158005,0.9907514853323431
62,man-stress-male-face_0,0.9578628540039062,0.9737143944982509,0.9487752622450588,0.9585547090958498,0.9893612905721691
63,maternity-baby-belly-pregnant-pregnancy-160776_0,0.9812698364257812,0.9852807156390148,0.9709884603794544,0.9757564601938058,0.9949927343182369
64,model-fashion-girl-female-39678_0,0.9965553283691406,0.9973832534013359,0.9947801657860966,0.9971145322123658,0.997652119469437
65,motorbike-racing-motorcycle-race-51388_0,0.7413749694824219,0.6603543892871635,0.49293214862681745,0.9893272088624696,0.4955674358800839
66,motorcycle-stunt-jump-motocross-38277_0,0.9437217712402344,0.8138634098335835,0.6861464493894397,0.9734109977666445,0.6992520325203252
67,norway-mountain-sky-blue_0,0.9810638427734375,0.9508670520231214,0.90633608815427,0.9206324868231912,0.9831549215056185
68,nymph-forest-nature-elf_0,0.9752159118652344,0.9712072396264964,0.9440261217175546,0.9507839683462477,0.9925271739130435
69,peasant-farmer-farmer-romania-botiza-47862_0,0.9813423156738281,0.9896552672265923,0.9795223700627183,0.9986553976181329,0.9808159107201999
70,people-man-model-glasses-46503_0,0.9918365478515625,0.9905568793575147,0.9812904353908026,0.9916333147799659,0.9894827783801892
71,people-mother-family-father_0,0.992431640625,0.9923658835027666,0.9848474433879406,0.9989774021366098,0.9858413033340214
72,person-woman-eyes-face_0,0.9878959655761719,0.9925667365560541,0.9852431645575507,0.9970302668053483,0.9881429930779708
73,person-woman-girl_0,0.9949073791503906,0.9856450069355585,0.9716963131002607,0.9817286066188283,0.9895927797210347
74,person-woman-music-musician_0,0.9920005798339844,0.9859948841589249,0.9723766367204996,0.9923507111553249,0.9797199548742451
75,pexels-photo-106684_0,0.9971809387207031,0.9857788896372558,0.9719565877352763,0.9924442033477991,0.9792025079328669
76,pexels-photo-108155_0,0.9760055541992188,0.941777588536942,0.88996186277597,0.9058404558404558,0.9806839649920962
77,pexels-photo-108261_0,0.9977073669433594,0.9934098709387371,0.9869060328111724,0.9897956954004151,0.9970505370663849
78,pexels-photo-10988_0,0.9955329895019531,0.9921501592089826,0.9844225985393692,0.9935955101437989,0.9907090071757524
79,pexels-photo-112362_0,0.7826995849609375,0.8761996661798457,0.779675570304704,0.9958994526016244,0.7821865929938382
80,pexels-photo-116079_0,0.9734687805175781,0.9369555561598636,0.8813888841516448,0.9958379899032718,0.8846476438267061
81,pexels-photo-119972_0,0.9747314453125,0.9665572777300954,0.9352790018271175,0.9703196115599436,0.962824007483479
82,pexels-photo-122084_0,0.9753684997558594,0.9761763327712861,0.9534613859958917,0.9701734443181401,0.9822539687254043
83,pexels-photo-122101_0,0.9842414855957031,0.9653459947821856,0.9330133454409834,0.9634789597950401,0.9672202797202797
84,pexels-photo-123335_0,0.9912376403808594,0.9702024984757482,0.9421293963519097,0.9807238394964595,0.9599045101008804
85,pexels-photo-12628_0,0.9951553344726562,0.9975517789121416,0.9951155161207198,0.9996715889684803,0.9954409399742999
86,pexels-photo-128121_0,0.9832992553710938,0.940152012248469,0.8870630723590868,0.9943612283847089,0.8915478351050039
87,pexels-photo-128202_0,0.9910621643066406,0.9504598794798603,0.9055965187960836,0.9548003398470688,0.9461587034308566
88,pexels-photo-134993_0,0.9202232360839844,0.937837926206874,0.8829518106005485,0.9453433046896536,0.9304507841390984
89,pexels-photo-136409_0,0.9944572448730469,0.9939208327580508,0.9879151314530953,0.9966855464652822,0.9911714147432367
90,pexels-photo-137079_0,0.9926376342773438,0.9439083933968845,0.8937751114535748,0.9638532763532763,0.9247722095671982
91,pexels-photo-138329_0,0.9602088928222656,0.9747662534018748,0.9507746468903224,0.9619281342207538,0.9879516890682541
92,pexels-photo-141376_0,0.8660049438476562,0.5236894204431427,0.3547284885002572,0.3584555411175051,0.9715234453612397
93,pexels-photo-157023_0,0.9547233581542969,0.9310186503623715,0.8709400315337357,0.9006128071063136,0.9635493106849843
94,pexels-photo-167374_0,0.9818840026855469,0.9829853858473091,0.9665400793343244,0.9969839458709129,0.9693744876904379
95,pexels-photo-167635_0,0.9942779541015625,0.9956255468066492,0.9912891986062717,0.9967533984210772,0.9945002446925031
96,pexels-photo-168890_0,0.9952239990234375,0.9745704188162653,0.9504020916689775,0.969059255968009,0.9801446255668587
97,pexels-photo-169523_0,0.9885292053222656,0.959956320828839,0.9229961587708067,0.9284886267034185,0.9936318023928985
98,pexels-photo-173285_0,0.9916496276855469,0.9891820567435471,0.9785956643753239,0.991558673166092,0.9868168058609503
99,pexels-photo-175353_0,0.979339599609375,0.8863378803777544,0.7958768326235254,0.8236601919026445,0.9593403598037434
100,pexels-photo-175708_0,0.9919967651367188,0.9677002186162514,0.9374217025592078,0.9706291114611322,0.9647889485801996
101,pexels-photo-185930_0,0.9983596801757812,0.9922171945701357,0.9845545977011494,0.995930528304629,0.9885314483554529
102,pexels-photo-192454_0,0.9954109191894531,0.9878092033927502,0.9759120579872652,0.9872789515263233,0.9883400251449892
103,pexels-photo-192478_0,0.9990386962890625,0.9742594484167517,0.9498107946624178,0.9845169281585466,0.9642135058633239
104,pexels-photo-193355_0,0.9964179992675781,0.9973763694429465,0.9947664697358154,0.9988527360845282,0.9959043606840945
105,pexels-photo-194087_0,0.9928855895996094,0.9950037103812985,0.9900570983787472,0.9987200447446543,0.991314931165358
106,pexels-photo-194446_0,0.9937210083007812,0.994179426429506,0.9884262189033737,0.9943130375735627,0.9940458511887084
107,pexels-photo-204495_0,0.9977302551269531,0.9704435944563112,0.9425841937662839,0.977582065652522,0.9634086201795049
108,pexels-photo-206271_0,0.9910888671875,0.9787485671658085,0.9583815852767732,0.9740873533246415,0.9834546052872134
109,pexels-photo-206272_0,0.9729881286621094,0.9542609470780878,0.9125230088823552,0.9158493794403184,0.9960355987055016
110,pexels-photo-206273_0,0.9640960693359375,0.9787223460580275,0.9583313042053861,0.9936241703158997,0.964260895905349
111,pexels-photo-206296_0,0.9928398132324219,0.9908521578088066,0.9818701644917948,0.985869596842238,0.9958853380880538
112,pexels-photo-206300_0,0.9188423156738281,0.72208796520058,0.5650529500756429,0.6480877904659179,0.8151654574411609
113,pexels-photo-206302_0,0.9923973083496094,0.980131393992563,0.9610369298742938,0.9962709253779741,0.9645064453469893
114,pexels-photo-206305_0,0.9897575378417969,0.9609028030578813,0.9247477578475336,0.9824618866126728,0.9402695847938217
115,pexels-photo-206331_0,0.8271255493164062,0.5709904008179185,0.3995707244687053,0.4372118646524979,0.8227302487996508
116,pexels-photo-206336_0,0.9216651916503906,0.9399429699495503,0.886690945207747,0.9050791898528848,0.9776002725442124
117,pexels-photo-206342_0,0.974273681640625,0.9505180054588678,0.9057020610196035,0.9772487251440813,0.9252106841879731
118,pexels-photo-206345_0,0.9920425415039062,0.9006950395125202,0.8193313701714879,0.9810225033703205,0.8325266214908035
119,pexels-photo-206354_0,0.9892120361328125,0.9606358397594721,0.9242533815454668,0.9925216440877844,0.9307349966284558
120,pexels-photo-206374_0,0.991851806640625,0.98363569502329,0.9677983477054816,0.98258181038969,0.9846918428076203
121,pexels-photo-206395_0,0.9605216979980469,0.9268906078909258,0.8637428902464714,0.9483628478496566,0.9063691627521415
122,pexels-photo-206396_0,0.7382240295410156,0.846813060725184,0.7343241862049741,0.9659501219704725,0.753837287866142
123,pexels-photo-206487_0,0.9735107421875,0.9771324696537598,0.9552874059097377,0.9773577696381986,0.976907273517443
124,pexels-photo-206514_0,0.961029052734375,0.9512572164702515,0.9070453035858894,0.9962324112567956,0.9101674488249365
125,pexels-photo-206533_0,0.9888992309570312,0.9892401552967277,0.9787093942054433,0.9935235661977689,0.984993520263902
126,pexels-photo-206543_ridJMC97dj_0,0.9968833923339844,0.9449052532200417,0.8955643614981464,0.9509976924121081,0.9388903779147681
127,pexels-photo-206557_0,0.9973602294921875,0.992548082100321,0.9852064048570879,0.9978780070588745,0.9872747916622036
128,pexels-photo-206560_0,0.992706298828125,0.9934267522930733,0.9869393554380644,0.9999723156568803,0.9869663228362593
129,pexels-photo-206585_0,0.9867210388183594,0.9770287124596634,0.9550890864286729,0.9815433571996818,0.9725554081217074
130,pexels-photo-206592_0,0.97027587890625,0.954306088221151,0.9126055698246952,0.9356830726770929,0.9736854701672929
131,pexels-photo-207188_0,0.9951934814453125,0.9522148058252428,0.908788185898364,0.9790984245827484,0.9267680496087406
132,pexels-photo-207688_0,0.95025634765625,0.9630341480561744,0.9287038201411708,0.9938796407360815,0.9340456302618049
133,pexels-photo-207744_0,0.9690628051757812,0.9649421610499196,0.9322591692351384,0.9804284998989802,0.9499374430817155
134,pexels-photo-207789_0,0.9796600341796875,0.9752455941614515,0.9516871443586676,0.9722214508529801,0.9782886096699981
135,pexels-photo-207884_0,0.9489860534667969,0.8690885240766302,0.7684850163599536,0.8579435639737147,0.8805268482335905
136,pexels-photo-208134_0,0.9829559326171875,0.9897185250639715,0.979646316019643,0.9881904236742947,0.9912513597728488
137,pexels-photo-209230_0,0.9773025512695312,0.9762781870953339,0.953655743961616,0.9858130902825305,0.9669259624876604
138,pexels-photo-209840_0,0.9793777465820312,0.9624812614513354,0.9276760271315236,0.9812914821052036,0.9443786176370446
139,pexels-photo-210913_0,0.8127670288085938,0.8456715591945566,0.7326091338479725,0.7704034281654961,0.9372395143641711
140,pexels-photo-211046_0,0.9934883117675781,0.9781218358689103,0.9571804841339521,0.9929738732174456,0.9637075388306604
141,pexels-photo-212951_0,0.9924659729003906,0.9894586271129449,0.9791371770223734,0.9876189359956528,0.9913051848049281
142,pexels-photo-213155_cNJhKCTRzx_0,0.9870376586914062,0.9882872821530995,0.9768457633470751,0.9842973277306308,0.9923097156463715
143,pexels-photo-213496_0,0.9712142944335938,0.8713647676519722,0.7720517158047366,0.9656188605108055,0.79387463502516
144,pexels-photo-214574_0,0.9956703186035156,0.979012185876218,0.9588872387437969,0.9916835243875028,0.9666605806098229
145,pexels-photo-215305_0,0.9705390930175781,0.9688524656280123,0.9395866579054414,0.9936877461199908,0.9452283333202175
146,pexels-photo-215316_RI0FPinnir_0,0.9938888549804688,0.9910550766069594,0.98226875781691,0.9965078937321745,0.9856616095426376
147,pexels-photo-217860_0,0.9627227783203125,0.9533351161369192,0.910831280226298,0.9988092498273913,0.911821395620758
148,pexels-photo-219004_0,0.9908866882324219,0.9929365710585683,0.9859722262998738,0.9950341917821207,0.9908477756731399
149,pexels-photo-219596_0,0.9929542541503906,0.9904427782693512,0.981066508118747,0.9910427669048358,0.9898435156742892
150,pexels-photo-219621_0,0.9579811096191406,0.9648052707422047,0.9320036544563379,0.9411834378545514,0.9896433510969527
151,pexels-photo-220452_0,0.9892616271972656,0.974457621428377,0.9501875707814269,0.9918541505042668,0.9576608228852704
152,pexels-photo-220453_0,0.9932823181152344,0.9936797677197994,0.9874389243553622,0.9972840769103313,0.99010141755711
153,pexels-photo-221212_0,0.9940719604492188,0.9874098679413433,0.9751328170005761,0.995247350111875,0.9796948602112506
